dc:identifier,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,citedby-count,affiliation,subtypeDescription,abstract
105003306749,Data-driven power marketing strategy optimization and customer loyalty promotion,Chen B.,Energy Informatics,2025-12-01,10.1186/s42162-025-00510-y,0,State Grid Hebei Marketing Service Center,Article,"© The Author(s) 2025.In the context of intensifying competition within the power market, power companies face the dual challenges of enhancing customer loyalty and optimizing marketing strategies. This study addresses these challenges by employing the long-term and short-term memory (LSTM) network model to analyze data-driven power marketing strategies and their impact on customer loyalty. The LSTM model is trained on a dataset combining time-series power consumption data with customer interaction scores and market response rates. This enables the model to predict and explain customer responses to marketing efforts with greater accuracy. Unlike traditional marketing models, which lack the capacity to capture dynamic customer behavior over time, the LSTM model accounts for both the temporal nature of consumption patterns and static customer feedback, offering a more holistic view. Key findings indicate that improving the quality of customer service interaction and accurately targeting marketing activities significantly boosts customer loyalty. In particular, customer interaction scores and market response rates are the most influential factors driving customer loyalty, providing critical insights for companies to adjust their strategies effectively. This study’s novelty lies in its application of advanced machine learning methods, such as LSTM, to the power industry—a sector traditionally slower to adopt such innovations. By bridging this gap, the research provides actionable recommendations on how power companies can implement data-driven marketing strategies to improve service quality, increase customer retention, and enhance their competitive position in the market. Additionally, the results underscore the model’s effectiveness in forecasting and optimizing marketing outcomes, offering a scalable solution for the evolving power sector. In the power market, companies face challenges in enhancing customer loyalty and optimizing strategies. This study employs the LSTM network model, trained on combined time-series power consumption, customer interaction scores and market response rates data. Unlike traditional models that struggle with dynamic customer behavior capture, LSTM accounts for consumption pattern temporality and static feedback. It outperforms other techniques like Random Forest and XGBoost in handling time-dependent consumption data. The key findings highlight the importance of customer interaction and targeted marketing. By applying LSTM, power companies can better predict customer responses, optimize marketing, improve service quality and enhance competitive position, providing a scalable solution for the evolving power sector."
85208626059,Unveiling fluctuation patterns of tourist volume: Insights from 56 major attractions in China,Wang B.,Tourism Economics,2025-06-01,10.1177/13548166241295333,0,Tianshui Normal University,Article,"© The Author(s) 2024.Understanding the spatiotemporal dynamics of tourist volume is crucial for effective tourism management and planning. However, existing tourism data analysis methods often fail to capture the complex, continuous fluctuations and temporal variations in tourist behavior. To address this challenge, we apply functional data analysis (FDA) in the tourism industry to provide a more nuanced understanding of tourist volume dynamics. Specifically, we perform FDA on real-time tourist volume data from 56 major attractions in Beijing, China, revealing intrinsic fluctuation patterns, key factors driving tourist arrivals, and the dynamic characteristics of attractions across temporal scales. Our findings enhance the ability to optimize attraction management, marketing strategies, and policy-making, while also advancing tourism data science by integrating FDA. This approach fills the methodological gap and offers a comprehensive framework for exploring the spatiotemporal complexities of tourism data."
105004928963,Multi-Source Data-Driven Personalized Recommendation and Decision-Making for Automobile Products Based on Basic Uncertain Information Order Weighted Average Operator,Yang Y.,Sustainability Switzerland,2025-05-01,10.3390/su17094078,0,Hunan University of Technology and Business,Article,"© 2025 by the authors.The extensive electronic word-of-mouth (eWOM) data generated by consumers encapsulates authentic product experience information. By leveraging advanced data analysis technologies, enterprises can extract sustainable consumer behavior preference knowledge, thereby supporting the optimization of their marketing and management strategies. However, existing data-driven product ranking processes predominantly focus on single-source eWOM data and rarely mine product insights from a multi-source perspective. Moreover, the quality of eWOM data cannot be overlooked. Consequently, this study uses automobile products as a case example and integrates rating eWOM data, complaint eWOM data, and safety test data to construct a multi-source data-driven personalized product ranking recommendation algorithm. Specifically, an evaluation index system is established for each of the three data types. To model information quality, these data are transformed into basic uncertain information (BUI), which incorporates scoring information and credibility metrics. The XLNet model is employed to convert complaint text data into scoring data, and three targeted credibility evaluation models are developed to assess the reliability of the three data types. Subsequently, BUI is aggregated using the BUI ordered weighted average (BUIOWA) aggregation operator. Based on this, a personalized product ranking method aligned with user preferences is proposed, offering consumers recommendation results that match their preferences. Finally, using automobile products as an illustrative example, this study elucidates the multi-source data-driven personalized product recommendation process and provides managerial implications for enterprises."
105003569894,Beyond the Battery: The Impact of Cultural Factor on Electric Vehicle Consumers’ Service Quality Expectations in Dealerships,Zhou Y.,World Electric Vehicle Journal,2025-04-01,10.3390/wevj16040229,0,Suzhou Vocational University,Article,"© 2025 by the authors.This research investigates the impact of cultural dimensions on service quality expectations in electric vehicle (EV) dealerships. Grounded in Hofstede’s cultural theory and employing a data-driven approach, the study utilizes a series of robust analytical techniques, including the SVM algorithm, factor analysis, and ANOVA. Through a comprehensive analysis of EV customers’ expectations for expertise, empathy, and responsiveness, the findings reveal that cultural dimensions significantly shape service quality expectations, regardless of the service provider’s gender. Notably, consumers with a stronger masculine orientation have lower expectations for expertise but higher expectations for empathy than those with a stronger feminine orientation. These findings challenge the traditional emphasis on gender as a key factor in service quality expectations and underscore the need to incorporate cultural values in service strategy design and quality improvement in the EV industry."
105005999555,Application of Formal Concept Analysis and Clustering Algorithms to Analyze Customer Segments,Budaya I.G.B.A.,Jurnal Resti,2025-04-01,10.29207/resti.v9i2.6184,0,Institute of Technology and Business STIKOM Bali,Article,"© 2025, Ikatan Ahli Informatika Indonesia. All rights reserved.Business development cannot be separated from relationships with customers. Understanding customer characteristics is important both for maintaining sales and even for targeting new customers with appropriate strategies. The complexity of customer data makes manual analysis of the customer segments difficult, so applying machine learning to segment the customer can be the solution. This research implements K-Means and GMM algorithms for performing clustering based on the Transaction data transformed to the Recency, Frequency, and Monetary (RFM) data model, then implements Formal Concept Analysis (FCA) as an approach to analyzing the customer segment after the class labeling. Both K-Means and GMM algorithms recommended the optimal number of clusters as the customer segment is four. The FCA implementation in this study further analyzes customer segment characteristics by constructing a concept lattice that categorizes segments using combinations of High and Low values across the RFM attributes based on the median values, which are High Recency (HR), Low Recency (LR), High Frequency (HF), Low Frequency (LF), High Monetary (HM), and Low Monetary (LM). This characteristic can determine the customer category; for example, a customer that has HM and HR can be considered a loyal customer and can be the target for a specific marketing program. Overall, this study demonstrates that using the RFM data model, combined with clustering algorithms and FCA, is a potential approach for understanding MSME customer segment behavior. However, special consideration is necessary when determining the FCA concept lattice, as it forms the foundation of the core analytical insights."
105002401094,Multi-Stage Data-Driven Framework for Customer Journey Optimization and Operational Resilience,Wang T.C.,Mathematics,2025-04-01,10.3390/math13071145,0,"Soochow University, Taipei",Article,"© 2025 by the authors.Optimizing customer journeys is a critical challenge in e-commerce and financial services, attracting attention from marketing, operations research, and business analytics. Traditional customer analytics models, such as rule-based segmentation and regression models, rely heavily on structured transactional data, limiting their ability to capture latent behavioral patterns and adapt to multi-channel dynamics. These models often struggle to integrate unstructured data sources, failing to provide adaptive, personalized insights. To address these limitations, this study proposes a multi-stage data-driven framework integrating latent Dirichlet allocation (LDA) for behavioral insights, deep learning for predictive modeling, and heuristic algorithms for adaptive decision-making. Empirical validation using Taiwanese financial institution data shows a 15% improvement in predictive accuracy compared to traditional machine-learning models, significantly enhancing customer lifetime value (CLV) predictions and multi-channel resource allocation. This research highlights the practical value of integrating structured and unstructured data for improving customer analytics. Our framework leverages LDA to extract behavioral patterns from customer interactions, enriching predictive models and enhancing real-time decision-making in financial services. Robustness checks confirm the scalability and adaptability of this approach, offering a data-driven strategy for long-term value optimization in dynamic digital ecosystems."
105002061768,How data-driven personalisation allows marketers to meet customers’ ever-increasing expectations for relevance,Hou Z.,Applied Marketing Analytics,2025-03-01,10.69554/BOYM1097,0,Media Volery,Article,"© Henry Stewart Publications.Consumer expectations for relevance are higher than ever. Research conducted by the author found that consumers want brands to offer personalisation, with 85 per cent of US adults saying that it is ‘somewhat’ to ‘extremely’ important for brands to share personalised recommendations with them. While marketers agree that it is important for brands to offer personalised marketing messages and offers to consumers, less than half of marketers say their organisations collect enough data. This paper explores three of the key roadblocks to building a robust data-driven marketing organisation and the methods by which organisations can address those challenges. The paper concludes with a look at the opportunities to build competitive advantage through more personalised and relevant marketing messages, in an environment where the majority of organisations have not yet acted upon these customer expectations."
105000924602,Optimal Decision-Making in a Green Supply Chain Duopoly: A Comparative Analysis of Subsidy Strategies with Data-Driven Marketing,Yao Y.,Mathematics,2025-03-01,10.3390/math13060965,0,School of Business,Article,"© 2025 by the authors.In the current context of severe environmental challenges and climate change, the low-carbon green development model has become an international consensus. This study establishes a green supply chain duopoly competition model, considering two types of government subsidies and data-driven marketing (DDM) to help achieve supply chain development. The aim of the research is to explore how to provide green subsidies, enhance green levels, maintain competitive advantage, and improve profits in supply chain enterprises with inconsistent green levels. The study discusses the impact of green consumer preferences, market competition, and DDM quality on the profits of supply chain enterprises. It also analyzes how to use supply chain contracts to achieve coordination and optimization within the supply chain. The findings are summarized as follows. (1) As consumer preferences for green products increase, the unit subsidy model continues to enhance performance and market share more effectively than the total subsidy model. (2) The unit subsidy model requires a more relaxed subsidy coefficient, making it easier for enterprises to develop without needing high subsidies. It consistently achieves better total performance, particularly with improved DDM quality. (3) Manufacturers and retailers can achieve a win–win situation through internal coordination of the supply chain via wholesale price contracts. (4) Under certain conditions, consumers more sensitive to green products will increase the product pricing of both M1 and M2. The level of greenness of M2 will also increase. But also, the wholesale and retail prices of M1 will decrease because of the effect of DDM. (5) The effect of the intensity of market competition on pricing decisions is more complex. Under certain conditions, the market competition coefficient has a positive impact on the pricing of M1 and a negative impact on the pricing and green level of M2. This can be changed due to an increase in the level of DDM quality, where an increase in the market competition coefficient results in lower pricing for M1 and higher pricing for M2. The green level for M2 is also improved. In addition, the improvement in DDM quality consistently has a positive impact on pricing decisions and green levels for M2. Pricing decisions for M1 are affected differently, depending on the customer’s sensitivity to DDM."
85208113340,Analysing the modest fashion market: an empirical study of e-commerce best-selling products,Putri N.F.,Journal of Islamic Marketing,2025-02-03,10.1108/JIMA-03-2024-0142,1,University of the Arts London,Article,"© 2024, Emerald Publishing Limited.Purpose: This study examines the dynamics of the modesty-conscious market within the global fashion industry. Specifically, the research aims to understand and analyse the preferences of consumers in this market segment and provide guidance for fashion companies seeking to engage with this sizable audience consumer demand for modest fashion, such as loose-fitting garments and headscarves for women. Design/methodology/approach: Employing a mono-method quantitative research approach, this study uses a comprehensive big data analytics framework to analyseashion data sets obtained from e-commerce websites. Findings: The findings highlight a persistent and growing demand for modest fashion; that demand proved resilient in the face of challenges presented by the COVID-19 pandemic. Modest shoppers demonstrate price sensitivity, and their preference for premium brands over affordable ones varies considerably. Crucial factors contributing to the success of modest clothing as best-sellers include price, retailer, colour and fabric, while the discount feature is less important. Research limitations/implications: While this research provides significant insights, it is important to acknowledge its limitations. This study relies on data gathered from certain e-commerce websites, and specific nuances of consumer behaviour may not be fully captured. In addition, the scope is limited to a specific timeframe and may not account for long-term market shifts. Practical implications: Fashion companies could use the results of this study to customise their strategy for engaging the modesty-conscious demographic. Comprehending the significance of elements such as price, retailer, colour and fabric can allow firms to enhance their product offerings and marketing strategies. Social implications: This study highlights the social ramifications of the modesty-focused industry, stressing the changing tastes and requirements of customers within this sector. By aligning their strategies with these societal shifts, fashion companies can contribute to a more inclusive and diverse industry landscape. Originality/value: This research contributes to the academic literature on modest fashion by using a unique combination of exploratory data analysis and machine learning techniques with fashion e-commerce data sets. This study addresses a gap in the use of big data within this field, and provides novel insights into consumer demand for modest garments. This study challenges the prevailing assumption that consumers of modest fashion prioritise premium pricing, and offers fresh insights into their price sensitivity across both mass-market and luxury segments. It contributes to the literature on consumer behaviour in niche fashion markets and introduces a theoretical framework for understanding the intersection of fashion, culture and consumer economics within the context of modest fashion."
86000770497,Fuzzy comprehensive evaluation of product marketing management performance under the background of data driven,Yang M.,International Journal of Product Development,2025-01-01,10.1504/IJPD.2025.144850,0,Chongqing College of Electronic Engineering,Article,"Copyright © 2025 Inderscience Enterprises Ltd.In order to overcome the problems of low weight and score values, large fluctuations in indicator membership, and low credibility in traditional methods, this paper designs a new fuzzy comprehensive evaluation method for product marketing management performance under the background of data driven. First, determine financial performance indicators, innovation performance indicators, and market competition performance indicators. Utilise data driven technology to mine and clean performance indicators for product marketing management, combined with dimensionless evaluation indicators and consistency calculation to complete indicator data pre-processing. Build a fuzzy comprehensive evaluation model for product marketing management performance, input pre-processed indicator data into the model and obtain evaluation results. The test results show that the weight and score values of this method are high, the fluctuation of the membership degree of the evaluation index is low and the credibility of the comment results is high."
